LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
ANDRADE,Rebeca,w,BRA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,3,6.1,7.933,,14.033
ANDRADE,Rebeca,w,BRA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",FX,,6.1,8.566,,14.666
ANDRADE,Rebeca,w,BRA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,5,6.1,8.4,,14.5
ANDRADE,Rebeca,w,BRA,21-25 Oct 2023,SANTIAGO 2023 XIX Pan American Games,final,"Santiago, Chile",BB,1,6.1,8.066,,14.166
ANDRADE,Rebeca,w,BRA,21-25 Oct 2023,SANTIAGO 2023 XIX Pan American Games,final,"Santiago, Chile",UB,2,6.1,8.233,,14.333
ANDRADE,Rebeca,w,BRA,21-25 Oct 2023,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",UB,2,6.1,8.2,,14.3
ANDREOLI,Angela,w,ITA,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",BB,21,6.1,6.566,,12.666
AZIMOV,Abdulla,m,UZB,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,9,6.1,8.2,,14.3
AZIMOV,Abdulla,m,UZB,15-18 June 2022,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",PH,9,6.1,7.567,,13.667
AZIMOV,Abdulla,m,UZB,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,final,"Baku, Azerbaijan",PH,8,6.1,7.3,,13.4
AZIMOV,Abdulla,m,UZB,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",PH,7,6.1,7.933,,14.033
AZIMOV,Abdulla,m,UZB,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,14,6.1,8.233,,14.333
AZIMOV,Abdulla,m,UZB,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,4,6.1,8.7,,14.8
AZIMOV,Abdulla,m,UZB,25-28 May 2023,2023 Varna World Challenge Cup,final,"Varna, Bulgaria",PH,2,6.1,8.4,0,14.5
AZIMOV,Abdulla,m,UZB,25-28 May 2023,2023 Varna World Challenge Cup,qual,"Varna, Bulgaria",PH,7,6.1,7.5,0,13.6
BALAZS,Krisztian,m,HUN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,9,6.1,8.333,,14.433
BALAZS,Krisztian,m,HUN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,21,6.1,8.433,,14.533
BALAZS,Krisztian,m,HUN,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,final,"Baku, Azerbaijan",PB,4,6.1,8.433,,14.533
BALAZS,Krisztian,m,HUN,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,qual,"Baku, Azerbaijan",PB,3,6.1,8.3,,14.4
BALAZS,Krisztian,m,HUN,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,16,6.1,7.733,,13.833
BARBOSU,Ana,w,ROU,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,23,6.1,5.566,,11.666
BENOVIC,Aurel,m,CRO,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,11,6.1,8.366,0.2,14.266
BENOVIC,Aurel,m,CRO,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",FX,17,6.1,6.9,0.1,12.9
BEVAN,Brinn,m,WAL,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PB,4,6.1,8.35,,14.45
BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",FX,1,6.5,8.033,,14.533
JONES,Shilese,w,USA,28-31 July 2022,2022 U.S. Classic,AAfinal,"West Valley City, Utah",UB,1,6.3,8.2,,14.5
BRENDEL,Pascal,m,GER,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",PH,30,6.1,6.566,,12.666
BRIONES,Brandon,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",HB,2,6.1,7.55,,13.65
BRIONES,Brandon,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",HB,,6.1,7.3,,13.4
LEE,Sunisa,w,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",BB,2,6.2,8.3,,14.5
CHILES,Jordan,w,USA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",VT1,2,5,9.5,,14.5
JONES,Shilese,w,USA,19-20 Aug 2022,2022 U.S. Championships,final,"Tampa, FL",VT,,5,9.5,,14.5
CHARPY,Lorette,w,FRA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",UB,9,6.1,6.833,,12.933
CHEN,Zhilong,m,CHN,1-4 Mar 2023,2023 Doha World Cup,final,"Doha, Qatar",FX,8,6.1,6.766,0.3,12.566
CHEN,Zhilong,m,CHN,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",FX,9,6.1,7.366,,13.466
CHEPURNYI,Nazar,m,UKR,27-30 Apr 2023,2023 Cairo World Cup,qual,"Cairo, Egypt",PB,26,6.1,5.466,,11.566
CHIBA,Kenta,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",PB,5,6.1,8.566,,14.666
CHIBA,Kenta,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,10,6.1,8.6,,14.7
CHIBA,Kenta,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",PH,6,6.1,8.1,,14.2
CHIBA,Kenta,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,6,6.1,8.6,,14.7
CHIBA,Kenta,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",PH,,6.1,6.966,,13.066
CHOU,J.R.,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",PH,,6.1,7.75,,13.85
COLAK,Ibrahim,m,TUR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,final,"Baku, Azerbaijan",SR,2,6.1,8.666,,14.766
COLAK,Ibrahim,m,TUR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,qual,"Baku, Azerbaijan",SR,2,6.1,8.566,,14.666
COLAK,Ibrahim,m,TUR,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",SR,1,6.1,8.666,,14.766
COLAK,Ibrahim,m,TUR,17-20 Mar 2022,2022 Cairo World Cup,final,"Cairo, Egypt",SR,2,6.1,8.6,,14.7
COLAK,Ibrahim,m,TUR,24-27 Feb 2022,2022 Cottbus World Cup,final,"Cottbus, Germany",SR,1,6.1,8.633,,14.733
COLAK,Ibrahim,m,TUR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",SR,3,6.1,8.366,,14.466
COLAK,Ibrahim,m,TUR,7-9 Oct 2022,2022 Mersin World Challenge Cup,final,"Mersin, Turkey",SR,3,6.1,8.3,,14.4
COLAK,Ibrahim,m,TUR,9-12 June 2022,2022 Osijek World Challenge Cup,final,"Osijek, Croatia",SR,4,6.1,8.533,,14.633
COLAK,Ibrahim,m,TUR,9-12 June 2022,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",SR,1,6.1,8.9,,15
COLAK,Ibrahim,m,TUR,23-26 Feb 2023,2023 Cottbus World Cup,final,"Cottbus, Germany",SR,8,6.1,7.366,,13.466
COLAK,Ibrahim,m,TUR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",SR,4,6.1,8.5,,14.6
COLAK,Ibrahim,m,TUR,1-4 Mar 2023,2023 Doha World Cup,final,"Doha, Qatar",SR,5,6.1,8.6,,14.7
COLAK,Ibrahim,m,TUR,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",SR,7,6.1,8.5,,14.6
D AMATO,Alice,w,ITA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",UB,12,6.1,7.166,,13.266
D AMATO,Alice,w,ITA,11-14 Aug 2022,2022 Senior European Championships,final,"Munich, Germany",UB,2,6.1,8.3,,14.4
D AMATO,Alice,w,ITA,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",UB,1,6.1,8.3,,14.4
DANG,Ngoc Xuan Thien,m,VIE,24-29 Sep 2023,HANGZHOU 2022 19th Asian Games,qual,"Hangzhou, China",PH,7,6.1,8.133,,14.233
DE ROSA,Edoardo,m,ITA,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,11,6.1,8.2,,14.3
DE ROSA,Edoardo,m,ITA,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",PH,4,6.1,8.1,,14.2
DEMIR,Sercan,m,TUR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,qual,"Baku, Azerbaijan",PB,32,6.1,5.233,,11.333
DIALLO,Thierno,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,24,6.1,8.266,,14.366
DIALLO,Thierno,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",PB,,6.1,8.166,,14.266
DOI,Ryosuke,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PH,7,6.1,6.833,,12.933
DOI,Ryosuke,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,6,6.1,8.366,,14.466
DOLGOPYAT,Artem,m,ISR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,final,"Baku, Azerbaijan",FX,1,6.1,8.7,0.1,14.7
DOLGOPYAT,Artem,m,ISR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,qual,"Baku, Azerbaijan",FX,1,6.1,8.766,,14.866
DOLGOPYAT,Artem,m,ISR,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,qual,"Baku, Azerbaijan",PH,14,6.1,7.666,,13.766
DOLGOPYAT,Artem,m,ISR,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",FX,3,6.1,7.966,,14.066
DOLGOPYAT,Artem,m,ISR,17-20 Mar 2022,2022 Cairo World Cup,final,"Cairo, Egypt",FX,1,6.1,8.4,,14.5
DOLGOPYAT,Artem,m,ISR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",FX,1,6.1,8.7,,14.8
DOLGOPYAT,Artem,m,ISR,2-5 Mar 2022,2022 Doha World Cup,final,"Doha, Qatar",FX,1,6.1,8.633,,14.733
DOLGOPYAT,Artem,m,ISR,2-5 Mar 2022,2022 Doha World Cup,qual,"Doha, Qatar",FX,1,6.1,8.566,,14.666
DOLGOPYAT,Artem,m,ISR,9-12 June 2022,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",FX,31,6.1,5.45,0.6,10.95
DOLGOPYAT,Artem,m,ISR,18-21 Aug 2022,2022 Senior European Championships,final,"Munich, Germany",FX,1,6.1,8.866,,14.966
DOLGOPYAT,Artem,m,ISR,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,6,6.1,8.466,0.3,14.266
DOLGOPYAT,Artem,m,ISR,11-16 Apr 2023,2023 Senior European Championships,final,"Antalya, Turkey",FX,2,6.1,8.566,,14.666
DOLGOPYAT,Artem,m,ISR,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",FX,2,6.1,8.266,,14.366
DUNKEL,Nils,m,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,12,6.1,8.066,,14.166
DUNKEL,Nils,m,GER,18-21 Aug 2022,2022 Senior European Championships,final,"Munich, Germany",PH,3,6.1,8.533,,14.633
DUNKEL,Nils,m,GER,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PH,6,6.1,8.266,,14.366
DUNKEL,Nils,m,GER,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PH,1,6.1,8.366,,14.466
DUNKEL,Nils,m,GER,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,14,6.1,7.833,,13.933
FRASER,Joe,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,12,6.1,8.166,,14.266
FRASER,Joe,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,11,6.1,7.066,,13.166
FRASER,Joe,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",PH,1,6.1,8,0,14.1
FRASER,Joe,m,GBR,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PH,1,6.1,8.5,,14.6
FRASER,Joe,m,GBR,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PH,2,6.1,8.333,,14.433
FRASER,Joe,m,ENG,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",PH,1,6.1,8.733,,14.833
FRASER,Joe,m,ENG,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PH,1,6.1,8.55,,14.65
FUKASAWA,Kokoro,w,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",UB,,6.1,7.233,,13.333
GEORGIOU,Marios,m,CYP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,14,6.1,8.733,,14.833
GEORGIOU,Marios,m,CYP,26-29 Mar 2022,2022 Varna World Challenge Cup,qual,"Varna, Bulgaria",PH,7,6.1,7.4,,13.5
GEORGIOU,Marios,m,CYP,26-29 Mar 2022,2022 Varna World Challenge Cup,final,"Varna, Bulgaria",PH,1,6.1,8.4,,14.5
GEORGIOU,Marios,m,CYP,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",PH,7,6.1,7.066,,13.166
GODWIN,Georgia,w,AUS,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",BB,1,6.1,7.65,,13.75
HALE,Dallas,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",PH,52,6.1,4.5,,10.6
HALE,Dallas,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",PH,,6.1,7.2,,13.3
HALE,Dallas,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",PH,,6.1,7,,13.1
HALL,James,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",PB,5,6.1,8.566,,14.666
HALL,James,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,17,6.1,8.366,,14.466
HALL,James,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",PB,,6.1,8.366,,14.466
HARUKI,Minori,m,JPN,30 Sept 2022 - 2 Oct 2022,2022 Szombathely World Challenge Cup,qual,"Szombathely, Hungary",SR,4,6.1,7.9,,14
HARUKI,Minori,m,JPN,30 Sept 2022 - 2 Oct 2022,2022 Szombathely World Challenge Cup,final,"Szombathely, Hungary",SR,2,6.1,8.533,,14.633
HASHIMOTO,Daiki,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,4,6.1,8.9,,15
HASHIMOTO,Daiki,m,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,16,6.1,8.633,,14.733
HASHIMOTO,Daiki,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",PB,3,6.1,8.7,,14.8
HASHIMOTO,Daiki,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,13,6.1,8.5,,14.6
HASHIMOTO,Daiki,m,JPN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",PB,,6.1,8.766,,14.866
HASHIMOTO,Daiki,m,JPN,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PB,5,6.1,8.5,,14.6
HEPWORTH,Harry,m,GBR,16-19 June 2022,2022 Koper World Challenge Cup,final,"Koper, Slovenia",FX,1,6.1,8.1,,14.2
HEPWORTH,Harry,m,GBR,16-19 June 2022,2022 Koper World Challenge Cup,qual,"Koper, Slovenia",FX,2,6.1,8,,14.1
HEPWORTH,Harry,m,GBR,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",FX,9,6.1,7.8,,13.9
HEPWORTH,Harry,m,GBR,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,8,6.1,7.533,,13.633
HEPWORTH,Harry,m,GBR,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",FX,37,6.1,7.05,0.3,12.85
HOCK,Vinzenz Johann,m,AUT,1-5 Aug 2023,2023 FISU World University Games,final,"Chengdu, China",SR,6,6.1,8.433,,14.533
HOCK,Vinzenz Johann,m,AUT,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",SR,9,6.1,8.366,,14.466
HOECK,Vinzenz,m,AUT,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",SR,6,6.1,8.466,,14.566
HOECK,Vinzenz,m,AUT,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",SR,5,6.1,8.5,,14.6
HONG,Asher,m,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",SR,17,6.1,7.866,,13.966
HONG,Asher,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",SR,1,6.1,8.3,,14.4
HONG,Asher,m,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",SR,,6.1,8.55,,14.65
HONG,Asher,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",SR,,6.1,8.65,,14.75
HUR,Woong,m,KOR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,10,6.1,8.333,,14.433
HÖCK,Vinzenz,m,AUT,31 Mar 2022 - 3 Apr 2022,2022 Baku World Cup,final,"Baku, Azerbaijan",SR,8,6.1,7.966,,14.066
HÖCK,Vinzenz,m,AUT,1-4 Jun 2023,2023 Tel Aviv World Challenge Cup,final,"Tel Aviv, Israel",SR,1,6.1,8.5,,14.6
IORIO,Elisa,w,ITA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,26,6.1,7.3,,13.4
JESUS SANTOS,Melanie,w,FRA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,12,6.1,7.966,,14.066
BILES,Simone,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",UB,,6,8.466,,14.466
ROBERSON,Joscelyn,w,USA,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,6,5.6,8.866,,14.466
KAJI,Chris,m,CAN,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",SR,15,6.1,7.066,,13.166
KANETA,Kiichi,m,JPN,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",SR,19,6.1,7.15,,13.25
KARIMI,Milad,m,KAZ,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,19,6.1,7.733,,13.833
KARIMI,Milad,m,KAZ,15-18 June 2022,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",FX,15,6.1,7.467,0.1,13.467
KARIMI,Milad,m,KAZ,15-18 June 2022,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",HB,7,6.1,7.767,,13.867
KARIMI,Milad,m,KAZ,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,2,6.1,8.366,,14.466
KARIMI,Milad,m,KAZ,27-30 Apr 2023,2023 Cairo World Cup,final,"Cairo, Egypt",FX,6,6.1,7.166,,13.266
KHACHIKYAN,Gagik,m,ARM,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,19,6.1,7.2,,13.3
KHACHIKYAN,Gagik,m,ARM,2-5 Mar 2022,2022 Doha World Cup,qual,"Doha, Qatar",PH,9,6.1,7.5,,13.6
KHACHIKYAN,Gagik,m,ARM,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",PH,63,6.1,6.533,,12.633
KITAZONO,Takeru,m,JPN,10-18 June 2023,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,HB,3,6.1,8.333,,14.433
KITAZONO,Takeru,m,JPN,9-12 Mar 2023,2023 Baku World Cup,final,"Baku, Azerbaijan",HB,4,6.1,7.166,,13.266
KITAZONO,Takeru,m,JPN,24-29 Sep 2023,HANGZHOU 2022 19th Asian Games,AAfinal,"Hangzhou, China",HB,3,6.1,8.333,,14.433
KOHANI,Mahdi Ahmad,m,IRI,15-18 June 2022,2022 9th Senior Artistic Gymnastics Asian Championships,final,"Doha, Qatar",SR,2,6.1,8.333,,14.433
KOHANI,Mahdi Ahmad,m,IRI,15-18 June 2022,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",SR,3,6.1,8.267,,14.367
KOSAK,Mehmet Ayberk,m,TUR,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",SR,10,6.1,8.1,,14.2
KOSAK,Mehmet Ayberk,m,TUR,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,4,6.1,7.933,,14.033
KOVTUN,Illia,m,UKR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,11,6.1,8,0.1,14
KOVTUN,Illia,m,UKR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,90,6.1,6.7,0.1,12.7
KOVTUN,Illia,m,UKR,18-21 Aug 2022,2022 Senior European Championships,final,"Munich, Germany",FX,5,6.1,8.133,,14.233
KOVTUN,Illia,m,UKR,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,3,6.1,8.366,,14.466
KOVTUN,Illia,m,UKR,30 Sept 2022 - 2 Oct 2022,2022 Szombathely World Challenge Cup,final,"Szombathely, Hungary",FX,1,6.1,8.633,,14.733
KOVTUN,Illia,m,UKR,30 Sept 2022 - 2 Oct 2022,2022 Szombathely World Challenge Cup,qual,"Szombathely, Hungary",FX,5,6.1,8.25,0.1,14.25
KOVTUN,Illia,m,UKR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",HB,5,6.1,7.966,,14.066
KOVTUN,Illia,m,UKR,9-12 Mar 2023,2023 Baku World Cup,final,"Baku, Azerbaijan",FX,2,6.1,7.933,0.1,13.933
KOVTUN,Illia,m,UKR,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,2,6.1,8.133,,14.233
KOVTUN,Illia,m,UKR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",FX,16,6.1,7.7,0.3,13.5
KOVTUN,Illia,m,UKR,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",FX,31,6.1,6.433,0.3,12.233
KOVTUN,Illia,m,UKR,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,6,6.1,7.9,0.1,13.9
KOVTUN,Illia,m,UKR,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",FX,8,6.1,7.966,,14.066
KUAVITA,Noah,m,BEL,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",HB,68,6.1,6.933,,13.033
KULIAK,Ivan,m,RUS,2-5 Mar 2022,2022 Doha World Cup,qual,"Doha, Qatar",PB,3,6.1,8.1,,14.2
KULIAK,Ivan,m,RUS,2-5 Mar 2022,2022 Doha World Cup,final,"Doha, Qatar",PB,3,6.1,8.433,,14.533
LAN,Xingyu,m,CHN,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PB,6,6.1,8.3,,14.4
LEE,Chih,m,TPE,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PH,2,6.1,8.766,,14.866
LEE,Chih Kai,m,TPE,24-29 Sep 2023,HANGZHOU 2022 19th Asian Games,qual,"Hangzhou, China",PH,1,6.1,8.966,,15.066
LEE,Yunseo,w,KOR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,38,6.1,7.1,,13.2
LEE,Yunseo,w,KOR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,9,6.1,7.666,,13.766
LIN,Chaopan,m,CHN,15-18 June 2022,2022 9th Senior Artistic Gymnastics Asian Championships,final,"Doha, Qatar",HB,2,6.1,8.067,,14.167
LIN,Chaopan,m,CHN,15-18 June 2022,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",PB,1,6.1,8.8,,14.9
LIN,Chaopan,m,CHN,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",PB,,6.1,8.566,,14.666
